Dis Loss: 0.00609593093395, Cls Loss: 0.0583413168788, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00370764220133, Cls Loss: 0.121347114444, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00603236770257, Cls Loss: 0.105289764702, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00454461202025, Cls Loss: 0.0347447767854, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00476987520233, Cls Loss: 0.0154802519828, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00467550195754, Cls Loss: 0.0853082090616, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00362639478408, Cls Loss: 0.0213281717151, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00576998572797, Cls Loss: 0.088567301631, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00389611953869, Cls Loss: 0.0775500386953, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00364692509174, Cls Loss: 0.0360069274902, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00672007678077, Cls Loss: 0.0251312982291, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00412650499493, Cls Loss: 0.143935501575, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00546471495181, Cls Loss: 0.0206368491054, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00304111326113, Cls Loss: 0.126500666142, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.0051850057207, Cls Loss: 0.0578130409122, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00496583385393, Cls Loss: 0.0406974591315, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00398027477786, Cls Loss: 0.129645079374, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00436131609604, Cls Loss: 0.0291619319469, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00447409320623, Cls Loss: 0.0951287448406, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00567617500201, Cls Loss: 0.0566911026835, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00418065488338, Cls Loss: 0.0225957930088, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00386782549322, Cls Loss: 0.0340443402529, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00331043382175, Cls Loss: 0.0555837228894, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00312547618523, Cls Loss: 0.0342776626348, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00458795810118, Cls Loss: 0.0738851577044, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00356465089135, Cls Loss: 0.070107460022, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00446801865473, Cls Loss: 0.0710966438055, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00504029775038, Cls Loss: 0.0303533878177, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00510559463874, Cls Loss: 0.0256489515305, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00315452227369, Cls Loss: 0.0374249257147, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00650208070874, Cls Loss: 0.0266140140593, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00455721607432, Cls Loss: 0.0496471635997, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00424830336124, Cls Loss: 0.0775512009859, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00599554041401, Cls Loss: 0.0285082086921, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.0052908747457, Cls Loss: 0.0163153167814, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00422675767913, Cls Loss: 0.0244442783296, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00468214182183, Cls Loss: 0.058757096529, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00464393757284, Cls Loss: 0.0295814089477, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.0040175607428, Cls Loss: 0.0164988674223, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00507428310812, Cls Loss: 0.0277650821954, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00443507311866, Cls Loss: 0.0347390472889, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00319409067743, Cls Loss: 0.0735673382878, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00557447317988, Cls Loss: 0.129221603274, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00489986827597, Cls Loss: 0.0250022243708, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00367637211457, Cls Loss: 0.037488501519, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00279768346809, Cls Loss: 0.0477290600538, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00308806146495, Cls Loss: 0.0397023484111, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00338975223713, Cls Loss: 0.0628024786711, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00590053154156, Cls Loss: 0.0783554241061, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00350930891, Cls Loss: 0.102638430893, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00412848358974, Cls Loss: 0.0205194931477, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00548736704513, Cls Loss: 0.0289202295244, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00462893256918, Cls Loss: 0.0628123059869, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00720173725858, Cls Loss: 0.0199466813356, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00340282986872, Cls Loss: 0.0598597824574, Lr C: 0.0002, Lr G: 0.0002 
Dis Loss: 0.00293013406917, Cls Loss: 0.0531075187027, Lr C: 0.0002, Lr G: 0.0002 
